date,average
2019-01-01,0.425
2019-01-02,0.48
2019-01-03,0.17708333333333334
2019-01-04,0.27125
2019-01-05,0.27375
2019-01-06,0.3529166666666667
2019-01-07,0.48875
2019-01-08,0.4841666666666667
2019-01-09,0.3925
2019-01-10,0.3770833333333334
2019-01-11,0.3433333333333333
2019-01-12,0.3954166666666667
2019-01-13,0.4825
2019-01-14,0.5754166666666667
2019-01-15,0.5920833333333334
2019-01-16,0.5866666666666667
2019-01-17,0.42083333333333334
2019-01-18,0.365
2019-01-19,0.4379166666666667
2019-01-20,0.37958333333333333
2019-01-21,0.4975
2019-01-22,0.5747619047619048
2019-01-23,0.18857142857142858
2019-01-24,0.18208333333333335
2019-01-25,0.2941666666666667
2019-01-26,0.58
2019-01-27,0.27458333333333335
2019-01-28,0.4275
2019-01-29,0.47125
2019-01-30,0.4529166666666667
2019-01-31,0.3175
2019-02-01,0.46625
2019-02-02,0.29
2019-02-03,0.17708333333333334
2019-02-04,0.2816666666666667
2019-02-05,0.30375
2019-02-06,0.3516666666666666
2019-02-07,0.3979166666666667
2019-02-08,0.4454166666666666
2019-02-09,0.34874999999999995
2019-02-10,0.5208333333333334
2019-02-11,0.23708333333333334
2019-02-12,0.11666666666666668
2019-02-13,0.19666666666666666
2019-02-14,0.36999999999999994
2019-02-15,0.6325
2019-02-16,0.41041666666666665
2019-02-17,0.2758333333333333
2019-02-18,0.3229166666666667
2019-02-19,0.4375
2019-02-20,0.5287499999999999
2019-02-21,0.45166666666666666
2019-02-22,0.71375
2019-02-23,0.6504166666666666
2019-02-24,0.5033333333333333
2019-02-25,0.41124999999999995
2019-02-26,0.47541666666666665
2019-02-27,0.6379166666666667
2019-02-28,0.6320833333333333
2019-03-01,0.5970833333333333
2019-03-02,0.38916666666666666
2019-03-03,0.36166666666666664
2019-03-04,0.41500000000000004
2019-03-05,0.7433333333333333
2019-03-06,0.5529166666666666
2019-03-07,0.6445833333333334
2019-03-08,0.3644444444444444
2019-03-09,0.14944444444444444
2019-03-10,0.22916666666666666
2019-03-11,0.22125000000000003
2019-03-12,0.455
2019-03-13,0.3361111111111111
2019-03-14,0.4295833333333334
2019-03-15,0.46291666666666664
2019-03-16,0.3741666666666667
