date,average
2019-01-01,10.583333333333334
2019-01-02,14.045454545454545
2019-01-03,13.583333333333334
2019-01-04,18.333333333333332
2019-01-05,12.75
2019-01-06,13.416666666666666
2019-01-07,21.0
2019-01-08,18.125
2019-01-09,15.333333333333334
2019-01-10,11.0
2019-01-11,13.666666666666666
2019-01-12,10.291666666666666
2019-01-13,10.0
2019-01-14,12.375
2019-01-15,11.541666666666666
2019-01-16,22.09090909090909
2019-01-17,13.625
2019-01-18,12.291666666666666
2019-01-19,12.666666666666666
2019-01-20,6.833333333333333
2019-01-21,12.25
2019-01-22,15.736842105263158
2019-01-23,13.857142857142858
2019-01-24,13.0
2019-01-25,14.0
2019-01-26,17.583333333333332
2019-01-27,10.958333333333334
2019-01-28,11.5
2019-01-29,12.166666666666666
2019-01-30,13.458333333333334
2019-01-31,17.75
2019-02-01,16.0
2019-02-02,14.583333333333334
2019-02-03,8.333333333333334
2019-02-04,12.583333333333334
2019-02-05,12.666666666666666
2019-02-06,15.291666666666666
2019-02-07,12.916666666666666
2019-02-08,19.523809523809526
2019-02-09,24.875
2019-02-10,21.708333333333332
2019-02-11,12.416666666666666
2019-02-12,11.25
2019-02-13,12.666666666666666
2019-02-14,18.227272727272727
2019-02-15,27.916666666666668
2019-02-16,18.833333333333332
2019-02-17,9.75
2019-02-18,11.291666666666666
2019-02-19,19.5
2019-02-20,27.458333333333332
2019-02-21,22.272727272727273
2019-02-22,24.375
2019-02-23,13.541666666666666
2019-02-24,14.791666666666666
2019-02-25,12.375
2019-02-26,16.333333333333332
2019-02-27,20.666666666666668
2019-02-28,22.041666666666668
2019-03-01,18.09090909090909
2019-03-02,12.791666666666666
2019-03-03,9.5
2019-03-04,12.833333333333334
2019-03-05,16.75
2019-03-06,18.583333333333332
2019-03-07,11.833333333333334
2019-03-08,19.53846153846154
2019-03-13,16.666666666666668
2019-03-14,17.0
2019-03-15,14.208333333333334
2019-03-16,11.083333333333334
2019-03-17,11.875
2019-03-18,24.26086956521739
2019-03-19,16.842105263157894
2019-03-20,16.25
2019-03-21,22.041666666666668
2019-03-22,18.545454545454547
2019-03-23,19.041666666666668
2019-03-24,11.166666666666666
2019-03-25,13.708333333333334
2019-03-26,16.041666666666668
2019-03-27,18.875
2019-03-28,16.625
2019-03-29,17.166666666666668
2019-03-30,24.25
2019-03-31,19.041666666666668
2019-04-01,19.458333333333332
2019-04-02,18.166666666666668
2019-04-03,18.31578947368421
2019-04-04,21.916666666666668
2019-04-05,21.833333333333332
2019-04-06,27.041666666666668
2019-04-07,29.166666666666668
2019-04-08,50.083333333333336
2019-04-09,28.772727272727273
2019-04-10,18.541666666666668
2019-04-11,14.291666666666666
2019-04-12,24.0
2019-04-13,19.416666666666668
2019-04-14,20.875
2019-04-15,17.958333333333332
2019-04-16,22.041666666666668
2019-04-17,19.954545454545453
2019-04-18,22.708333333333332
2019-04-19,20.791666666666668
2019-04-20,13.625
2019-04-21,22.083333333333332
2019-04-22,22.791666666666668
2019-04-23,20.166666666666668
2019-04-24,20.666666666666668
2019-04-25,13.166666666666666
2019-04-26,13.545454545454545
2019-04-27,15.625
2019-04-28,17.083333333333332
2019-04-29,20.208333333333332
2019-04-30,17.916666666666668
2019-05-01,12.588235294117647
2019-05-02,25.333333333333332
2019-05-03,24.17391304347826
2019-05-04,14.708333333333334
2019-05-05,11.125
2019-05-06,13.916666666666666
2019-05-07,19.0
2019-05-08,15.91304347826087
2019-05-09,14.041666666666666
2019-05-10,13.458333333333334
2019-05-11,15.333333333333334
2019-05-12,22.0
2019-05-13,23.0
2019-05-14,22.636363636363637
2019-05-15,22.208333333333332
2019-05-16,17.25
2019-05-17,10.0
2019-05-18,10.75
2019-05-19,9.416666666666666
2019-05-20,14.416666666666666
2019-05-21,11.909090909090908
2019-05-22,19.25
2019-05-23,27.958333333333332
2019-05-24,28.208333333333332
2019-05-25,19.458333333333332
2019-05-26,14.125
2019-05-27,18.125
2019-05-28,23.772727272727273
2019-05-29,17.708333333333332
2019-05-30,19.583333333333332
2019-05-31,18.291666666666668
2019-06-01,15.75
2019-06-02,14.5
2019-06-03,22.125
2019-06-04,15.625
2019-06-05,12.791666666666666
2019-06-06,16.833333333333332
2019-06-07,19.476190476190474
2019-06-08,25.125
2019-06-09,20.875
2019-06-10,18.583333333333332
2019-06-11,18.0
2019-06-12,20.291666666666668
2019-06-13,18.727272727272727
2019-06-14,15.833333333333334
2019-06-15,13.083333333333334
2019-06-16,16.0
2019-06-17,13.791666666666666
2019-06-18,20.041666666666668
2019-06-19,18.708333333333332
2019-06-20,22.35
2019-06-21,22.708333333333332
2019-06-22,28.041666666666668
2019-06-23,20.058823529411764
2019-06-24,18.875
2019-06-25,11.4
2019-07-05,30.875
2019-07-06,30.875
2019-07-07,24.125
2019-07-08,23.458333333333332
2019-07-09,24.708333333333332
2019-07-10,33.416666666666664
2019-07-11,28.791666666666668
2019-07-12,25.208333333333332
2019-07-13,23.75
2019-07-14,25.916666666666668
2019-07-15,26.954545454545453
2019-07-16,29.666666666666668
2019-07-17,17.75
2019-07-18,22.5
2019-07-19,19.0
2019-07-20,13.708333333333334
2019-07-21,10.708333333333334
2019-07-22,18.083333333333332
2019-07-23,20.90909090909091
2019-07-24,17.583333333333332
2019-07-25,15.541666666666666
2019-07-26,15.208333333333334
2019-07-27,27.166666666666668
2019-07-28,13.125
2019-07-29,21.291666666666668
2019-07-30,21.476190476190474
2019-07-31,21.833333333333332
2019-08-01,18.416666666666668
2019-08-02,17.916666666666668
2019-08-03,21.818181818181817
2019-08-04,19.541666666666668
2019-08-05,16.416666666666668
2019-08-06,26.454545454545453
2019-08-07,26.166666666666668
2019-08-08,24.041666666666668
2019-08-09,21.041666666666668
2019-08-10,23.333333333333332
2019-08-11,18.791666666666668
2019-08-12,20.875
2019-08-13,18.583333333333332
2019-08-14,23.583333333333332
2019-08-15,23.75
2019-08-16,33.208333333333336
2019-08-17,25.75
2019-08-18,12.208333333333334
2019-08-19,18.863636363636363
2019-08-20,23.958333333333332
2019-08-21,18.166666666666668
2019-08-22,29.0
2019-08-23,35.375
2019-08-24,19.708333333333332
2019-08-25,21.375
2019-08-26,25.75
2019-08-27,25.833333333333332
2019-08-28,19.916666666666668
2019-08-29,20.083333333333332
2019-08-30,27.125
2019-08-31,24.416666666666668
2019-09-01,18.208333333333332
2019-09-02,26.375
2019-09-03,21.545454545454547
2019-09-04,19.541666666666668
2019-09-05,18.666666666666668
2019-09-06,16.333333333333332
2019-09-07,19.125
2019-09-08,15.666666666666666
2019-09-09,14.208333333333334
2019-09-10,17.136363636363637
2019-09-11,21.416666666666668
2019-09-12,22.458333333333332
2019-09-13,29.958333333333332
2019-09-14,15.041666666666666
2019-09-15,15.958333333333334
2019-09-16,20.041666666666668
2019-09-17,27.818181818181817
2019-09-18,23.625
2019-09-19,19.666666666666668
2019-09-20,26.375
2019-09-21,20.416666666666668
2019-09-22,13.708333333333334
2019-09-23,17.5
2019-09-24,29.125
2019-09-25,33.083333333333336
2019-09-26,28.041666666666668
2019-09-27,14.541666666666666
2019-09-28,13.333333333333334
2019-09-29,13.541666666666666
2019-09-30,20.541666666666668
2019-10-01,16.083333333333332
2019-10-02,13.75
2019-10-03,15.090909090909092
2019-10-04,13.25
2019-10-05,13.875
2019-10-06,14.666666666666666
2019-10-07,20.166666666666668
2019-10-08,29.083333333333332
2019-10-09,26.708333333333332
2019-10-10,24.791666666666668
2019-10-11,24.90909090909091
2019-10-12,15.833333333333334
2019-10-13,13.041666666666666
2019-10-14,9.708333333333334
2019-10-15,19.375
2019-10-16,14.541666666666666
2019-10-17,15.25
2019-10-18,19.772727272727273
2019-10-19,25.875
2019-10-20,13.208333333333334
2019-10-21,21.958333333333332
2019-10-22,20.695652173913043
2019-10-23,17.916666666666668
2019-10-24,25.916666666666668
2019-10-25,29.583333333333332
2019-10-26,19.625
2019-10-27,16.833333333333332
2019-10-28,17.833333333333332
2019-10-29,13.125
2019-10-30,16.166666666666668
2019-10-31,16.59090909090909
2019-11-01,13.916666666666666
2019-11-02,11.916666666666666
2019-11-03,10.041666666666666
2019-11-04,18.875
2019-11-05,26.125
2019-11-06,25.625
2019-11-07,18.333333333333332
2019-11-08,16.458333333333332
2019-11-09,12.75
2019-11-10,9.166666666666666
2019-11-11,12.272727272727273
2019-11-12,12.833333333333334
2019-11-13,29.625
2019-11-14,22.791666666666668
2019-11-15,13.352941176470589
2019-12-10,27.636363636363637
2019-12-11,26.083333333333332
2019-12-12,10.333333333333334
2019-12-13,13.583333333333334
2019-12-14,15.333333333333334
2019-12-15,11.791666666666666
2019-12-16,28.791666666666668
2019-12-17,20.833333333333332
2019-12-18,16.166666666666668
2019-12-19,16.458333333333332
2019-12-20,16.541666666666668
2019-12-21,6.75
2019-12-22,7.5
2019-12-23,17.708333333333332
2019-12-24,8.041666666666666
2019-12-25,6.833333333333333
2019-12-26,10.958333333333334
2019-12-27,11.708333333333334
2019-12-28,19.916666666666668
2019-12-29,20.083333333333332
2019-12-30,11.5
2019-12-31,5.041666666666667
2020-01-01,2.35
2020-01-02,2.5238095238095237
2020-01-03,6.764705882352941
2020-01-04,7.958333333333333
2020-01-05,9.875
2020-01-06,12.625
2020-01-07,18.5
2020-01-08,17.541666666666668
2020-01-09,17.916666666666668
2020-01-10,18.0
2020-01-11,20.083333333333332
2020-01-12,11.75
2020-01-13,10.25
2020-01-14,16.0
2020-01-15,19.541666666666668
2020-01-16,14.954545454545455
2020-01-17,15.083333333333334
2020-01-18,13.541666666666666
2020-01-19,14.708333333333334
2020-01-20,25.541666666666668
2020-01-21,21.083333333333332
2020-01-22,10.0
2020-01-23,11.166666666666666
2020-01-24,17.5
2020-01-25,13.625
