date,average
2019-01-01,23.291666666666668
2019-01-02,19.75
2019-01-03,16.875
2019-01-04,19.5
2019-01-05,27.791666666666668
2019-01-06,25.416666666666668
2019-01-07,20.958333333333332
2019-01-08,29.208333333333332
2019-01-09,28.625
2019-01-10,25.0
2019-01-11,20.166666666666668
2019-01-12,21.375
2019-01-13,19.5
2019-01-14,18.625
2019-01-15,17.416666666666668
2019-01-16,19.458333333333332
2019-01-17,37.416666666666664
2019-01-18,27.5
2019-01-19,23.166666666666668
2019-01-20,19.416666666666668
2019-01-21,23.75
2019-01-22,34.791666666666664
2019-01-23,44.208333333333336
2019-01-24,34.208333333333336
2019-01-25,32.541666666666664
2019-01-26,33.75
2019-01-27,26.791666666666668
2019-01-28,29.333333333333332
2019-01-29,40.06666666666667
2019-01-31,33.65
2019-02-01,35.05
2019-02-04,30.428571428571427
2019-02-05,21.333333333333332
2019-02-06,24.291666666666668
2019-02-07,25.208333333333332
2019-02-08,35.625
2019-02-09,39.40909090909091
2019-02-12,26.88888888888889
2019-02-13,39.083333333333336
2019-02-14,31.791666666666668
2019-02-15,32.416666666666664
2019-02-16,31.083333333333332
2019-02-17,20.958333333333332
2019-02-18,26.958333333333332
2019-02-19,40.0
2019-02-20,53.875
2019-02-21,49.375
2019-02-22,43.583333333333336
2019-02-23,39.166666666666664
2019-02-24,26.416666666666668
2019-02-25,21.125
2019-02-26,24.5
2019-02-27,32.875
2019-02-28,35.541666666666664
2019-03-01,41.416666666666664
2019-03-02,42.541666666666664
2019-03-03,21.458333333333332
2019-03-04,23.25
2019-03-05,24.25
2019-03-06,23.916666666666668
2019-03-07,37.541666666666664
2019-03-08,26.041666666666668
2019-03-09,21.833333333333332
2019-03-10,23.291666666666668
2019-03-11,21.666666666666668
2019-03-12,21.333333333333332
2019-03-13,15.833333333333334
2019-03-14,24.125
2019-03-15,28.625
2019-03-16,19.666666666666668
2019-03-17,14.541666666666666
2019-03-18,19.583333333333332
2019-03-19,35.083333333333336
2019-03-20,25.875
2019-03-21,28.5
2019-03-22,30.458333333333332
2019-03-23,36.041666666666664
2019-03-24,33.208333333333336
2019-03-25,32.375
2019-03-26,31.416666666666668
2019-03-27,29.083333333333332
2019-03-28,28.041666666666668
2019-03-29,31.166666666666668
2019-03-30,29.083333333333332
2019-03-31,29.5
2019-04-01,27.666666666666668
2019-04-02,29.208333333333332
2019-04-03,43.5
2019-04-04,39.25
