date,average
2019-01-10,31.75
2019-01-11,27.375
2019-01-12,20.083333333333332
2019-01-13,26.5
2019-01-14,26.875
2019-01-15,29.083333333333332
2019-01-16,25.25
2019-01-17,37.625
2019-01-18,33.083333333333336
2019-01-19,25.291666666666668
2019-01-20,16.75
2019-01-21,17.458333333333332
2019-01-22,23.375
2019-01-23,34.041666666666664
2019-01-24,34.458333333333336
2019-01-25,32.75
2019-01-26,38.916666666666664
2019-01-27,39.833333333333336
2019-01-28,33.73684210526316
2019-02-01,45.04347826086956
2019-02-02,36.708333333333336
2019-02-03,26.416666666666668
2019-02-04,20.833333333333332
2019-02-05,17.541666666666668
2019-02-06,19.25
2019-02-07,24.458333333333332
2019-02-08,31.0
2019-02-09,39.75
2019-02-10,61.291666666666664
2019-02-11,43.166666666666664
2019-02-12,32.041666666666664
2019-02-13,28.166666666666668
2019-02-14,24.083333333333332
2019-02-15,28.75
2019-02-16,23.666666666666668
2019-02-17,22.833333333333332
2019-02-18,22.625
2019-02-19,28.833333333333332
2019-02-20,41.416666666666664
2019-02-21,35.083333333333336
2019-02-22,37.0
2019-02-23,40.75
2019-02-24,30.916666666666668
2019-02-25,26.208333333333332
2019-02-26,28.041666666666668
2019-02-27,32.166666666666664
2019-02-28,40.38461538461539
2019-03-01,29.714285714285715
2019-03-02,30.458333333333332
2019-03-03,19.916666666666668
2019-03-04,22.291666666666668
2019-03-05,22.5
2019-03-06,27.958333333333332
2019-03-07,34.583333333333336
2019-03-08,27.291666666666668
2019-03-09,38.6
2019-03-10,21.285714285714285
2019-03-11,19.0
2019-03-12,30.5
2019-03-13,27.041666666666668
2019-03-14,35.15384615384615
2019-03-15,48.285714285714285
2019-03-16,30.541666666666668
2019-03-17,25.923076923076923
2019-03-18,24.5
2019-03-19,31.75
2019-03-22,20.428571428571427
2019-03-23,23.708333333333332
2019-03-24,23.125
2019-03-25,25.166666666666668
2019-03-26,32.714285714285715
2019-03-27,30.166666666666668
2019-03-28,24.0
2019-03-29,30.666666666666668
2019-03-30,38.958333333333336
2019-03-31,43.333333333333336
2019-04-01,34.916666666666664
2019-04-02,31.375
2019-04-03,35.25
2019-04-04,47.375
2019-04-05,50.333333333333336
2019-04-08,42.42857142857143
2019-04-09,47.166666666666664
2019-04-10,40.416666666666664
2019-04-11,34.625
2019-04-12,32.375
2019-04-13,23.875
2019-04-14,24.708333333333332
2019-04-15,39.541666666666664
2019-04-16,27.25
2019-04-18,22.8125
2019-04-19,24.375
2019-04-20,35.083333333333336
2019-04-21,28.5
2019-04-22,38.791666666666664
2019-04-23,24.958333333333332
2019-04-24,28.833333333333332
2019-04-25,22.75
2019-04-26,25.458333333333332
2019-04-27,15.541666666666666
2019-04-28,21.625
2019-04-29,22.166666666666668
2019-04-30,30.791666666666668
2019-05-01,23.916666666666668
2019-05-02,21.208333333333332
2019-05-03,28.75
2019-05-04,30.125
2019-05-05,21.666666666666668
2019-05-06,15.75
2019-05-07,23.166666666666668
2019-05-08,23.125
2019-05-09,21.25
2019-05-10,18.916666666666668
2019-05-11,12.75
2019-05-12,18.958333333333332
2019-05-13,19.0
2019-05-14,36.666666666666664
2019-05-15,32.208333333333336
2019-05-16,33.0
2019-05-17,24.375
2019-05-18,20.291666666666668
2019-05-19,22.791666666666668
2019-05-20,20.208333333333332
2019-05-21,21.666666666666668
2019-05-22,30.916666666666668
2019-05-23,39.458333333333336
2019-05-24,41.5
2019-05-25,22.5
2019-05-26,14.416666666666666
2019-05-27,32.625
2019-05-28,45.166666666666664
2019-05-29,38.375
2019-05-30,20.041666666666668
2019-05-31,22.916666666666668
2019-06-01,22.958333333333332
2019-06-02,26.833333333333332
2019-06-03,27.666666666666668
2019-06-04,29.708333333333332
2019-06-05,15.833333333333334
2019-06-06,19.958333333333332
2019-06-07,33.5
2019-06-08,27.4
2019-06-09,14.0
2019-06-10,22.5
2019-06-11,31.166666666666668
2019-06-12,35.666666666666664
2019-06-13,38.75
2019-06-14,15.291666666666666
2019-06-15,14.75
2019-06-16,10.583333333333334
2019-06-19,14.0
2019-06-20,21.166666666666668
2019-06-21,14.083333333333334
2019-06-22,20.875
2019-06-23,31.333333333333332
2019-06-24,35.583333333333336
2019-06-25,23.0
2019-06-27,13.571428571428571
2019-06-28,20.0
2019-06-29,30.333333333333332
2019-06-30,14.458333333333334
2019-07-01,15.083333333333334
2019-07-02,19.958333333333332
2019-07-03,26.0
2019-07-11,38.0
2019-07-12,33.875
2019-07-13,36.125
2019-07-14,31.958333333333332
2019-07-15,21.916666666666668
2019-07-16,32.541666666666664
2019-07-17,20.958333333333332
2019-07-18,22.958333333333332
2019-07-19,37.583333333333336
2019-07-20,29.208333333333332
2019-07-21,25.958333333333332
2019-07-22,23.125
2019-07-23,26.708333333333332
2019-07-24,26.958333333333332
2019-07-25,21.875
2019-07-26,15.208333333333334
2019-07-27,20.625
2019-07-28,25.208333333333332
2019-07-29,16.291666666666668
2019-07-30,29.583333333333332
2019-07-31,22.375
2019-08-01,29.458333333333332
2019-08-02,29.541666666666668
2019-08-03,24.791666666666668
2019-08-04,19.583333333333332
2019-08-05,12.625
2019-08-06,23.541666666666668
2019-08-07,49.958333333333336
2019-08-08,25.958333333333332
2019-08-09,24.416666666666668
2019-08-10,25.166666666666668
2019-08-11,18.125
2019-08-12,18.041666666666668
2019-08-13,23.583333333333332
2019-08-14,21.75
2019-08-15,17.791666666666668
2019-08-16,27.208333333333332
2019-08-17,51.625
2019-08-18,28.708333333333332
2019-08-19,21.791666666666668
2019-08-20,21.5
2019-08-21,14.041666666666666
2019-08-22,16.125
2019-08-23,31.75
2019-08-24,23.75
2019-08-25,13.75
2019-08-26,20.75
2019-08-27,34.083333333333336
2019-08-28,23.291666666666668
2019-08-29,33.25
2019-08-30,31.625
2019-08-31,37.333333333333336
2019-09-01,29.416666666666668
2019-09-02,21.583333333333332
2019-09-03,27.333333333333332
2019-09-04,33.541666666666664
2019-09-05,45.958333333333336
2019-09-06,29.333333333333332
2019-09-07,26.5
2019-09-08,27.791666666666668
2019-09-09,15.625
2019-09-10,16.541666666666668
2019-09-11,18.666666666666668
2019-09-12,23.416666666666668
2019-09-13,30.0
2019-09-14,27.333333333333332
2019-09-15,15.833333333333334
2019-09-16,17.875
2019-09-17,27.958333333333332
2019-09-18,39.041666666666664
2019-09-19,34.166666666666664
2019-09-20,42.208333333333336
2019-09-21,45.916666666666664
2019-09-22,32.458333333333336
2019-09-23,15.625
2019-09-24,25.0
2019-09-25,36.083333333333336
2019-09-26,42.833333333333336
2019-09-27,21.458333333333332
2019-09-28,23.5
2019-09-29,21.541666666666668
2019-09-30,24.875
2019-10-01,27.541666666666668
2019-10-02,24.208333333333332
2019-10-03,25.708333333333332
2019-10-04,22.083333333333332
2019-10-05,16.625
2019-10-06,17.166666666666668
2019-10-07,15.125
2019-10-08,35.916666666666664
2019-10-09,35.291666666666664
2019-10-10,22.041666666666668
2019-10-11,21.666666666666668
2019-10-12,14.75
2019-10-13,14.291666666666666
2019-10-14,19.791666666666668
2019-10-15,27.166666666666668
2019-10-16,21.291666666666668
2019-10-17,14.333333333333334
2019-10-18,13.0
2019-10-19,31.541666666666668
2019-10-20,15.5
2019-10-21,20.125
2019-10-22,17.791666666666668
2019-10-23,25.333333333333332
2019-10-24,25.416666666666668
2019-10-25,28.25
2019-10-26,26.666666666666668
2019-10-27,22.791666666666668
2019-10-28,31.5
2019-10-29,19.916666666666668
2019-10-30,18.916666666666668
2019-10-31,18.583333333333332
2019-11-01,19.166666666666668
2019-11-02,35.291666666666664
2019-11-03,23.916666666666668
2019-11-04,22.583333333333332
2019-11-05,21.458333333333332
2019-11-06,26.0
2019-11-07,22.291666666666668
2019-11-08,36.125
2019-11-09,28.125
2019-11-10,17.583333333333332
2019-11-11,15.333333333333334
2019-11-12,19.875
2019-11-13,27.583333333333332
2019-11-14,40.833333333333336
2019-11-15,23.333333333333332
2019-11-16,21.666666666666668
2019-11-17,17.125
2019-11-18,21.416666666666668
2019-11-19,37.5
