fecha;hora;centenario;cordoba;la_boca;palermo
9/12/2011 00:00;10;5;s/d;11;s/d
9/12/2011 00:00;15;5;s/d;11;s/d
10/12/2011 00:00;9;5;s/d;11;s/d
10/12/2011 00:00;10;5;s/d;11;s/d
10/12/2011 00:00;8;5;s/d;11;s/d
25/12/2011 00:00;13;5;s/d;9;s/d
7/1/2012 00:00;10;5;19;11;s/d
7/1/2012 00:00;11;5;3;11;s/d
8/1/2012 00:00;17;5;13;12;s/d
8/1/2012 00:00;7;5;8;8;s/d
8/1/2012 00:00;6;5;1;10;s/d
15/1/2012 00:00;11;5;1;16;s/d
15/1/2012 00:00;10;5;12;13;s/d
29/1/2012 00:00;14;5;12;s/d;s/d
29/1/2012 00:00;16;5;18;s/d;s/d
5/2/2012 00:00;17;5;18;s/d;s/d
25/2/2012 00:00;10;5;15;s/d;s/d
25/2/2012 00:00;7;5;19;s/d;s/d
25/2/2012 00:00;11;5;16;s/d;s/d
25/2/2012 00:00;12;5;17;s/d;s/d
25/2/2012 00:00;14;5;21;s/d;s/d
26/2/2012 00:00;19;5;14;s/d;s/d
26/2/2012 00:00;9;5;13;s/d;s/d
27/2/2012 00:00;15;5;12;s/d;s/d
27/2/2012 00:00;14;5;10;s/d;s/d
27/2/2012 00:00;13;5;10;s/d;s/d
27/2/2012 00:00;12;5;11;s/d;s/d
27/2/2012 00:00;11;5;11;s/d;s/d
4/3/2012 00:00;16;5;25;s/d;s/d
4/3/2012 00:00;15;5;23;s/d;s/d
5/3/2012 00:00;6;5;18;s/d;s/d
9/3/2012 00:00;7;5;22;s/d;s/d
17/3/2012 00:00;10;5;14;s/d;s/d
17/3/2012 00:00;16;5;20;s/d;s/d
18/3/2012 00:00;9;5;10;s/d;s/d
1/4/2012 00:00;12;5;17;s/d;s/d
1/4/2012 00:00;10;5;17;s/d;s/d
1/4/2012 00:00;11;5;16;s/d;s/d
4/4/2012 00:00;4;5;11;s/d;s/d
10/4/2012 00:00;7;5;15;s/d;s/d
7/5/2012 00:00;6;5;23;s/d;s/d
14/10/2012 00:00;9;5;16;12;s/d
18/11/2012 00:00;11;5;18;15;s/d
18/11/2012 00:00;9;5;11;17;s/d
22/11/2012 00:00;6;5;22;13;s/d
25/11/2012 00:00;12;5;11;10;s/d
25/11/2012 00:00;11;5;13;11;s/d
26/11/2012 00:00;5;5;8;8;s/d
23/12/2012 00:00;8;5;11;10;s/d
23/12/2012 00:00;15;5;46;10;s/d
23/12/2012 00:00;16;5;41;12;s/d
25/12/2012 00:00;19;5;9;6;s/d
25/12/2012 00:00;18;5;9;5;s/d
28/12/2012 00:00;6;5;11;14;s/d
30/12/2012 00:00;17;5;12;10;s/d
30/12/2012 00:00;18;5;19;13;s/d
30/12/2012 00:00;11;5;13;13;s/d
30/12/2012 00:00;10;5;11;12;s/d
31/12/2012 00:00;6;5;8;10;s/d
1/1/2013 00:00;18;5;9;3;s/d
1/1/2013 00:00;19;5;13;3;s/d
3/1/2013 00:00;6;5;16;11;s/d
29/3/2013 00:00;16;5;s/d;12;s/d
29/3/2013 00:00;15;5;s/d;10;s/d
29/3/2013 00:00;14;5;s/d;13;s/d
29/3/2013 00:00;11;5;s/d;13;s/d
29/3/2013 00:00;10;5;s/d;14;s/d
29/11/2014 00:00;4;5;3;s/d;s/d
29/11/2014 00:00;3;5;2;s/d;s/d
29/11/2014 00:00;2;5;2;s/d;s/d
15/9/2011 00:00;6;6;26;14;s/d
4/10/2011 00:00;6;6;s/d;12;s/d
27/11/2011 00:00;9;6;s/d;14;s/d
9/12/2011 00:00;13;6;s/d;15;s/d
9/12/2011 00:00;14;6;s/d;14;s/d
10/12/2011 00:00;11;6;s/d;14;s/d
11/12/2011 00:00;9;6;s/d;13;s/d
11/12/2011 00:00;8;6;s/d;12;s/d
25/12/2011 00:00;16;6;s/d;15;s/d
25/12/2011 00:00;7;6;s/d;7;s/d
7/1/2012 00:00;7;6;5;10;s/d
7/1/2012 00:00;8;6;17;9;s/d
7/1/2012 00:00;9;6;18;8;s/d
7/1/2012 00:00;12;6;1;15;s/d
7/1/2012 00:00;13;6;1;14;s/d
8/1/2012 00:00;13;6;1;13;s/d
8/1/2012 00:00;14;6;1;13;s/d
8/1/2012 00:00;16;6;1;13;s/d
15/1/2012 00:00;12;6;1;14;s/d
29/1/2012 00:00;17;6;41;s/d;s/d
5/2/2012 00:00;18;6;29;s/d;s/d
5/2/2012 00:00;16;6;13;s/d;s/d
18/2/2012 00:00;5;6;13;s/d;s/d
25/2/2012 00:00;9;6;18;s/d;s/d
25/2/2012 00:00;15;6;25;s/d;s/d
27/2/2012 00:00;17;6;12;s/d;s/d
27/2/2012 00:00;16;6;14;s/d;s/d
4/3/2012 00:00;17;6;22;s/d;s/d
4/3/2012 00:00;13;6;11;s/d;s/d
4/3/2012 00:00;14;6;11;s/d;s/d
9/3/2012 00:00;13;6;22;s/d;s/d
16/3/2012 00:00;16;6;21;s/d;s/d
16/3/2012 00:00;14;6;22;s/d;s/d
17/3/2012 00:00;9;6;14;s/d;s/d
17/3/2012 00:00;11;6;13;s/d;s/d
17/3/2012 00:00;12;6;15;s/d;s/d
17/3/2012 00:00;13;6;14;s/d;s/d
17/3/2012 00:00;14;6;18;s/d;s/d
17/3/2012 00:00;17;6;20;s/d;s/d
17/3/2012 00:00;15;6;18;s/d;s/d
18/3/2012 00:00;14;6;21;s/d;s/d
1/4/2012 00:00;9;6;13;s/d;s/d
4/4/2012 00:00;5;6;10;s/d;s/d
4/4/2012 00:00;3;6;16;s/d;s/d
14/8/2012 00:00;6;6;16;17;s/d
14/10/2012 00:00;8;6;18;10;s/d
25/11/2012 00:00;13;6;16;12;s/d
25/11/2012 00:00;17;6;20;16;s/d
26/11/2012 00:00;9;6;9;14;s/d
26/11/2012 00:00;10;6;10;15;s/d
26/11/2012 00:00;6;6;9;11;s/d
23/12/2012 00:00;12;6;10;12;s/d
23/12/2012 00:00;7;6;11;10;s/d
23/12/2012 00:00;6;6;10;8;s/d
23/12/2012 00:00;14;6;38;10;s/d
23/12/2012 00:00;5;6;14;8;s/d
28/12/2012 00:00;7;6;14;19;s/d
30/12/2012 00:00;12;6;9;12;s/d
30/12/2012 00:00;19;6;19;15;s/d
31/12/2012 00:00;9;6;12;14;s/d
31/12/2012 00:00;8;6;14;13;s/d
31/12/2012 00:00;7;6;12;12;s/d
4/1/2013 00:00;4;6;12;8;s/d
29/3/2013 00:00;17;6;s/d;14;s/d
29/3/2013 00:00;13;6;s/d;14;s/d
29/3/2013 00:00;9;6;s/d;13;s/d
1/5/2013 00:00;11;6;s/d;6;s/d
23/11/2014 00:00;10;6;2;s/d;s/d
23/11/2014 00:00;11;6;1;s/d;s/d
23/11/2014 00:00;12;6;2;s/d;s/d
23/11/2014 00:00;8;6;3;s/d;s/d
23/11/2014 00:00;14;6;1;s/d;s/d
23/11/2014 00:00;15;6;1;s/d;s/d
24/11/2014 00:00;4;6;2;s/d;s/d
24/11/2014 00:00;3;6;2;s/d;s/d
29/11/2014 00:00;6;6;3;s/d;s/d
29/11/2014 00:00;7;6;4;s/d;s/d
29/11/2014 00:00;8;6;3;s/d;s/d
29/11/2014 00:00;9;6;2;s/d;s/d
29/11/2014 00:00;5;6;2;s/d;s/d
29/11/2014 00:00;1;6;1;s/d;s/d
13/9/2010 00:00;5;7;s/d;10;s/d
28/9/2010 00:00;5;7;s/d;7;s/d
10/10/2010 00:00;11;7;s/d;11;s/d
11/10/2010 00:00;11;7;s/d;9;s/d
16/1/2011 00:00;7;7;13;s/d;s/d
27/9/2011 00:00;6;7;s/d;24;s/d
27/11/2011 00:00;10;7;s/d;13;s/d
27/11/2011 00:00;11;7;s/d;11;s/d
27/11/2011 00:00;12;7;s/d;16;s/d
8/12/2011 00:00;11;7;s/d;27;s/d
8/12/2011 00:00;10;7;s/d;15;s/d
8/12/2011 00:00;9;7;s/d;20;s/d
9/12/2011 00:00;9;7;s/d;10;s/d
9/12/2011 00:00;16;7;s/d;13;s/d
10/12/2011 00:00;12;7;s/d;15;s/d
10/12/2011 00:00;16;7;s/d;17;s/d
11/12/2011 00:00;7;7;s/d;15;s/d
24/12/2011 00:00;24;7;s/d;6;s/d
25/12/2011 00:00;18;7;s/d;12;s/d
25/12/2011 00:00;6;7;s/d;7;s/d
26/12/2011 00:00;6;7;s/d;15;s/d
14/1/2012 00:00;9;7;1;14;s/d
14/1/2012 00:00;10;7;1;13;s/d
14/1/2012 00:00;16;7;10;14;s/d
28/1/2012 00:00;15;7;18;s/d;s/d
5/2/2012 00:00;19;7;26;s/d;s/d
5/2/2012 00:00;15;7;16;s/d;s/d
12/2/2012 00:00;16;7;12;s/d;s/d
12/2/2012 00:00;17;7;13;s/d;s/d
12/2/2012 00:00;12;7;15;s/d;s/d
18/2/2012 00:00;6;7;12;s/d;s/d
25/2/2012 00:00;8;7;19;s/d;s/d
25/2/2012 00:00;6;7;19;s/d;s/d
26/2/2012 00:00;20;7;16;s/d;s/d
3/3/2012 00:00;18;7;21;s/d;s/d
3/3/2012 00:00;17;7;26;s/d;s/d
4/3/2012 00:00;11;7;13;s/d;s/d
4/3/2012 00:00;12;7;12;s/d;s/d
4/3/2012 00:00;10;7;13;s/d;s/d
4/3/2012 00:00;9;7;12;s/d;s/d
9/3/2012 00:00;8;7;23;s/d;s/d
9/3/2012 00:00;12;7;24;s/d;s/d
17/3/2012 00:00;8;7;13;s/d;s/d
18/3/2012 00:00;12;7;12;s/d;s/d
18/3/2012 00:00;13;7;18;s/d;s/d
18/3/2012 00:00;15;7;23;s/d;s/d
1/4/2012 00:00;13;7;20;s/d;s/d
1/4/2012 00:00;6;7;13;s/d;s/d
10/4/2012 00:00;8;7;16;s/d;s/d
10/4/2012 00:00;9;7;16;s/d;s/d
2/5/2012 00:00;4;7;15;s/d;s/d
17/5/2012 00:00;6;7;31;12;s/d
27/5/2012 00:00;11;7;26;s/d;s/d
27/5/2012 00:00;12;7;27;s/d;s/d
27/5/2012 00:00;13;7;39;s/d;s/d
23/9/2012 00:00;11;7;11;s/d;s/d
13/10/2012 00:00;5;7;25;11;s/d
23/12/2012 00:00;13;7;14;13;s/d
23/12/2012 00:00;4;7;14;10;s/d
23/12/2012 00:00;3;7;18;12;s/d
25/12/2012 00:00;20;7;10;7;s/d
28/12/2012 00:00;8;7;17;26;s/d
30/12/2012 00:00;13;7;10;13;s/d
30/12/2012 00:00;16;7;8;15;s/d
31/12/2012 00:00;10;7;20;13;s/d
3/1/2013 00:00;13;7;19;17;s/d
3/1/2013 00:00;14;7;23;18;s/d
3/1/2013 00:00;15;7;17;19;s/d
4/1/2013 00:00;5;7;13;13;s/d
4/1/2013 00:00;3;7;15;12;s/d
28/3/2013 00:00;11;7;s/d;19;s/d
28/3/2013 00:00;13;7;s/d;19;s/d
30/3/2013 00:00;10;7;s/d;12;s/d
30/3/2013 00:00;11;7;s/d;11;s/d
1/5/2013 00:00;10;7;s/d;6;s/d
23/11/2014 00:00;9;7;2;s/d;s/d
23/11/2014 00:00;13;7;2;s/d;s/d
23/11/2014 00:00;7;7;3;s/d;s/d
23/11/2014 00:00;16;7;1;s/d;s/d
23/11/2014 00:00;17;7;1;s/d;s/d
23/11/2014 00:00;23;7;2;s/d;s/d
23/11/2014 00:00;24;7;2;s/d;s/d
24/11/2014 00:00;5;7;1;s/d;s/d
24/11/2014 00:00;1;7;2;s/d;s/d
28/11/2014 00:00;24;7;2;s/d;s/d
29/11/2014 00:00;10;7;3;s/d;s/d
28/9/2010 00:00;6;8;s/d;18;s/d
11/10/2010 00:00;10;8;s/d;10;s/d
11/10/2010 00:00;13;8;s/d;10;s/d
16/1/2011 00:00;11;8;14;s/d;s/d
16/1/2011 00:00;12;8;16;s/d;s/d
16/1/2011 00:00;15;8;17;s/d;s/d
23/2/2011 00:00;6;8;10;9;s/d
23/2/2011 00:00;7;8;11;12;s/d
2/3/2011 00:00;6;8;11;9;s/d
6/3/2011 00:00;9;8;12;9;s/d
20/3/2011 00:00;15;8;16;36;s/d
20/3/2011 00:00;11;8;17;28;s/d
9/5/2011 00:00;6;8;21;30;s/d
25/9/2011 00:00;9;8;s/d;14;s/d
20/10/2011 00:00;10;8;s/d;25;s/d
23/11/2011 00:00;11;8;s/d;23;s/d
27/11/2011 00:00;8;8;s/d;15;s/d
27/11/2011 00:00;13;8;s/d;18;s/d
8/12/2011 00:00;17;8;s/d;20;s/d
9/12/2011 00:00;12;8;s/d;18;s/d
10/12/2011 00:00;14;8;s/d;16;s/d
10/12/2011 00:00;15;8;s/d;17;s/d
25/12/2011 00:00;15;8;s/d;10;s/d
25/12/2011 00:00;17;8;s/d;13;s/d
26/12/2011 00:00;9;8;s/d;17;s/d
26/12/2011 00:00;8;8;s/d;18;s/d
26/12/2011 00:00;7;8;s/d;19;s/d
14/1/2012 00:00;7;8;14;18;s/d
14/1/2012 00:00;8;8;12;15;s/d
14/1/2012 00:00;11;8;16;14;s/d
14/1/2012 00:00;15;8;21;15;s/d
15/1/2012 00:00;13;8;1;13;s/d
19/1/2012 00:00;8;8;15;13;s/d
27/1/2012 00:00;10;8;18;s/d;s/d
27/1/2012 00:00;9;8;18;s/d;s/d
27/1/2012 00:00;8;8;17;s/d;s/d
27/1/2012 00:00;7;8;18;s/d;s/d
18/2/2012 00:00;7;8;12;s/d;s/d
1/3/2012 00:00;7;8;18;s/d;s/d
3/3/2012 00:00;12;8;15;s/d;s/d
3/3/2012 00:00;13;8;16;s/d;s/d
3/3/2012 00:00;16;8;22;s/d;s/d
3/3/2012 00:00;7;8;15;s/d;s/d
3/3/2012 00:00;4;8;15;s/d;s/d
3/3/2012 00:00;3;8;14;s/d;s/d
4/3/2012 00:00;18;8;25;s/d;s/d
5/3/2012 00:00;7;8;14;s/d;s/d
9/3/2012 00:00;9;8;24;s/d;s/d
16/3/2012 00:00;17;8;20;s/d;s/d
16/3/2012 00:00;15;8;22;s/d;s/d
16/3/2012 00:00;13;8;25;s/d;s/d
18/3/2012 00:00;8;8;11;s/d;s/d
18/3/2012 00:00;7;8;14;s/d;s/d
18/3/2012 00:00;6;8;15;s/d;s/d
27/3/2012 00:00;7;8;16;s/d;s/d
31/3/2012 00:00;16;8;24;s/d;s/d
31/3/2012 00:00;11;8;12;s/d;s/d
1/4/2012 00:00;8;8;12;s/d;s/d
1/4/2012 00:00;7;8;13;s/d;s/d
4/4/2012 00:00;6;8;11;s/d;s/d
4/4/2012 00:00;2;8;21;s/d;s/d
2/5/2012 00:00;5;8;25;s/d;s/d
18/5/2012 00:00;7;8;16;28;s/d
27/5/2012 00:00;14;8;41;s/d;s/d
23/9/2012 00:00;12;8;11;s/d;s/d
13/10/2012 00:00;10;8;23;22;s/d
18/11/2012 00:00;12;8;22;15;s/d
25/11/2012 00:00;14;8;15;13;s/d
25/11/2012 00:00;18;8;22;17;s/d
26/11/2012 00:00;8;8;11;17;s/d
26/11/2012 00:00;7;8;11;13;s/d
29/11/2012 00:00;6;8;11;13;s/d
2/12/2012 00:00;17;8;13;24;s/d
2/12/2012 00:00;16;8;18;18;s/d
22/12/2012 00:00;16;8;15;23;s/d
22/12/2012 00:00;13;8;16;21;s/d
22/12/2012 00:00;12;8;16;20;s/d
22/12/2012 00:00;10;8;17;26;s/d
22/12/2012 00:00;9;8;19;24;s/d
28/12/2012 00:00;9;8;20;27;s/d
28/12/2012 00:00;10;8;22;21;s/d
28/12/2012 00:00;13;8;16;19;s/d
28/12/2012 00:00;14;8;20;19;s/d
30/12/2012 00:00;15;8;10;20;s/d
30/12/2012 00:00;14;8;9;15;s/d
1/1/2013 00:00;20;8;14;5;s/d
3/1/2013 00:00;7;8;21;17;s/d
3/1/2013 00:00;12;8;15;19;s/d
3/1/2013 00:00;16;8;26;20;s/d
5/1/2013 00:00;9;8;12;s/d;s/d
11/1/2013 00:00;8;8;15;s/d;s/d
28/3/2013 00:00;18;8;s/d;16;s/d
28/3/2013 00:00;17;8;s/d;16;s/d
28/3/2013 00:00;16;8;s/d;15;s/d
28/3/2013 00:00;15;8;s/d;16;s/d
28/3/2013 00:00;12;8;s/d;19;s/d
28/3/2013 00:00;14;8;s/d;15;s/d
30/3/2013 00:00;9;8;s/d;11;s/d
30/3/2013 00:00;12;8;s/d;12;s/d
30/3/2013 00:00;13;8;s/d;12;s/d
30/3/2013 00:00;15;8;s/d;11;s/d
30/3/2013 00:00;16;8;s/d;12;s/d
10/4/2013 00:00;6;8;s/d;9;s/d
1/5/2013 00:00;12;8;s/d;7;s/d
1/5/2013 00:00;15;8;s/d;7;s/d
2/5/2013 00:00;5;8;s/d;9;s/d
24/11/2014 00:00;6;8;1;s/d;s/d
24/11/2014 00:00;7;8;2;s/d;s/d
21/3/2015 00:00;10;8;8;4;s/d
30/8/2010 00:00;6;9;s/d;14;s/d
10/10/2010 00:00;12;9;s/d;12;s/d
11/10/2010 00:00;9;9;s/d;13;s/d
11/10/2010 00:00;12;9;s/d;9;s/d
12/10/2010 00:00;6;9;s/d;14;s/d
13/11/2010 00:00;9;9;s/d;15;s/d
16/1/2011 00:00;8;9;13;s/d;s/d
16/1/2011 00:00;9;9;15;s/d;s/d
16/1/2011 00:00;13;9;13;s/d;s/d
6/3/2011 00:00;6;9;13;8;s/d
6/3/2011 00:00;8;9;14;9;s/d
7/3/2011 00:00;11;9;14;10;s/d
20/3/2011 00:00;16;9;15;32;s/d
10/8/2011 00:00;6;9;26;41;s/d
25/9/2011 00:00;10;9;s/d;12;s/d
25/9/2011 00:00;15;9;s/d;17;s/d
25/9/2011 00:00;16;9;s/d;21;s/d
25/9/2011 00:00;5;9;s/d;16;s/d
8/12/2011 00:00;14;9;s/d;16;s/d
9/12/2011 00:00;8;9;s/d;11;s/d
10/12/2011 00:00;13;9;s/d;15;s/d
10/12/2011 00:00;18;9;s/d;17;s/d
11/12/2011 00:00;10;9;s/d;16;s/d
25/12/2011 00:00;1;9;s/d;5;s/d
26/12/2011 00:00;12;9;s/d;16;s/d
28/12/2011 00:00;10;9;s/d;19;s/d
30/12/2011 00:00;9;9;s/d;19;s/d
30/12/2011 00:00;8;9;s/d;16;s/d
30/12/2011 00:00;7;9;s/d;15;s/d
14/1/2012 00:00;13;9;24;14;s/d
14/1/2012 00:00;14;9;22;17;s/d
19/1/2012 00:00;7;9;14;11;s/d
27/1/2012 00:00;11;9;20;s/d;s/d
5/2/2012 00:00;20;9;26;s/d;s/d
12/2/2012 00:00;15;9;12;s/d;s/d
12/2/2012 00:00;13;9;15;s/d;s/d
13/2/2012 00:00;14;9;28;s/d;s/d
18/2/2012 00:00;8;9;13;s/d;s/d
20/2/2012 00:00;12;9;15;s/d;s/d
20/2/2012 00:00;15;9;18;s/d;s/d
22/2/2012 00:00;6;9;22;s/d;s/d
27/2/2012 00:00;18;9;14;s/d;s/d
3/3/2012 00:00;9;9;15;s/d;s/d
3/3/2012 00:00;11;9;16;s/d;s/d
3/3/2012 00:00;8;9;16;s/d;s/d
3/3/2012 00:00;14;9;15;s/d;s/d
3/3/2012 00:00;19;9;17;s/d;s/d
3/3/2012 00:00;6;9;14;s/d;s/d
3/3/2012 00:00;5;9;14;s/d;s/d
16/3/2012 00:00;10;9;19;s/d;s/d
16/3/2012 00:00;11;9;18;s/d;s/d
16/3/2012 00:00;12;9;24;s/d;s/d
18/3/2012 00:00;5;9;17;s/d;s/d
27/3/2012 00:00;8;9;18;s/d;s/d
31/3/2012 00:00;17;9;27;s/d;s/d
31/3/2012 00:00;15;9;15;s/d;s/d
31/3/2012 00:00;12;9;12;s/d;s/d
17/4/2012 00:00;6;9;17;s/d;s/d
1/5/2012 00:00;17;9;14;s/d;s/d
2/5/2012 00:00;3;9;12;s/d;s/d
16/5/2012 00:00;6;9;23;17;s/d
23/9/2012 00:00;16;9;13;s/d;s/d
23/9/2012 00:00;10;9;13;s/d;s/d
13/10/2012 00:00;8;9;25;20;s/d
13/10/2012 00:00;9;9;26;17;s/d
13/10/2012 00:00;6;9;19;16;s/d
14/10/2012 00:00;10;9;14;11;s/d
14/10/2012 00:00;7;9;24;10;s/d
22/11/2012 00:00;7;9;22;16;s/d
25/11/2012 00:00;15;9;17;12;s/d
19/12/2012 00:00;6;9;21;11;s/d
22/12/2012 00:00;17;9;17;19;s/d
22/12/2012 00:00;15;9;14;25;s/d
22/12/2012 00:00;14;9;15;22;s/d
22/12/2012 00:00;11;9;16;22;s/d
23/12/2012 00:00;1;9;29;15;s/d
28/12/2012 00:00;11;9;22;19;s/d
3/1/2013 00:00;8;9;19;20;s/d
3/1/2013 00:00;9;9;24;20;s/d
4/1/2013 00:00;6;9;17;19;s/d
5/1/2013 00:00;10;9;12;s/d;s/d
5/1/2013 00:00;11;9;13;s/d;s/d
10/1/2013 00:00;7;9;13;s/d;s/d
11/1/2013 00:00;9;9;15;s/d;s/d
11/1/2013 00:00;10;9;16;s/d;s/d
28/3/2013 00:00;10;9;s/d;19;s/d
30/3/2013 00:00;7;9;s/d;11;s/d
30/3/2013 00:00;14;9;s/d;12;s/d
1/5/2013 00:00;14;9;s/d;8;s/d
1/5/2013 00:00;16;9;s/d;10;s/d
23/11/2014 00:00;18;9;1;s/d;s/d
23/11/2014 00:00;22;9;2;s/d;s/d
24/11/2014 00:00;8;9;3;s/d;s/d
24/11/2014 00:00;2;9;2;s/d;s/d
28/11/2014 00:00;23;9;3;s/d;s/d
29/11/2014 00:00;11;9;2;s/d;s/d
