station,co,no2,pm10
centenario,0.562845452565419,18.546708649020957,26.06379367486517
cordoba,0.6074712741782334,24.501038914398585,26.168502948309186
la_boca,0.3781429768525068,19.588585632612478,28.516892581553915
palermo,1.0019094885598925,-1,-1
