date,average
2009-10-01,28.0
2009-10-02,35.833333333333336
2009-10-04,19.416666666666668
2009-10-05,26.125
2009-10-06,16.208333333333332
2009-10-07,22.25
2009-10-08,26.75
2009-10-09,15.666666666666666
2009-10-12,24.666666666666668
2009-10-13,25.041666666666668
2009-10-14,22.375
2009-10-15,24.375
2009-10-16,22.2
2009-10-18,17.416666666666668
2009-10-19,28.958333333333332
2009-10-20,46.333333333333336
2009-10-21,28.833333333333332
2009-10-22,26.708333333333332
2009-10-23,22.166666666666668
2009-10-26,18.15
2009-10-27,18.291666666666668
2009-10-28,26.791666666666668
2009-11-01,18.25
2009-11-02,20.416666666666668
2009-11-04,18.666666666666668
2009-11-05,28.875
2009-11-06,23.0
2009-11-07,13.833333333333334
2009-11-08,20.416666666666668
2009-11-09,26.166666666666668
2009-11-10,32.166666666666664
2009-11-11,32.541666666666664
2009-11-12,27.666666666666668
2009-11-13,29.05263157894737
2009-11-14,21.291666666666668
2009-11-15,21.375
2009-11-16,23.666666666666668
2009-11-17,21.833333333333332
2009-11-18,19.833333333333332
2009-11-19,18.5
2009-11-20,26.045454545454547
2009-11-21,15.875
2009-11-22,15.666666666666666
2009-11-23,19.083333333333332
2009-11-24,22.083333333333332
2009-11-25,21.083333333333332
2009-11-26,22.375
2009-11-27,26.4
2009-11-28,18.916666666666668
2009-11-29,16.73913043478261
2009-11-30,26.041666666666668
2009-12-01,24.166666666666668
2009-12-02,22.75
2009-12-03,14.5
2009-12-04,25.142857142857142
2009-12-05,18.75
2009-12-06,14.541666666666666
2009-12-07,19.125
2009-12-08,12.291666666666666
2009-12-09,19.0
2009-12-10,25.458333333333332
2009-12-11,20.0
2009-12-12,15.125
2009-12-13,15.416666666666666
2009-12-14,29.75
2009-12-15,23.625
2009-12-16,21.333333333333332
2009-12-17,37.291666666666664
2009-12-18,33.333333333333336
2009-12-19,14.307692307692308
2009-12-21,22.5
2009-12-22,14.916666666666666
2009-12-23,16.0
2009-12-24,15.4
2009-12-25,13.0
2009-12-26,11.083333333333334
2009-12-27,9.625
2009-12-28,11.958333333333334
2009-12-29,19.041666666666668
2009-12-30,19.416666666666668
2009-12-31,14.833333333333334
2010-01-01,16.583333333333332
2010-01-02,28.625
2010-01-03,14.833333333333334
2010-01-04,15.5
2010-01-05,23.666666666666668
2010-01-06,12.666666666666666
2010-01-07,18.0
2010-01-08,17.25
2010-01-09,18.5
2010-01-10,21.058823529411764
2010-01-11,18.75
2010-01-12,14.421052631578947
2010-01-13,23.0
2010-01-14,35.125
2010-01-15,32.5
2010-01-16,22.208333333333332
2010-01-17,20.5
2010-01-18,38.083333333333336
2010-01-19,23.666666666666668
2010-01-20,27.571428571428573
2010-01-21,26.416666666666668
2010-01-22,28.208333333333332
2010-01-23,20.333333333333332
2010-01-24,16.714285714285715
2010-01-25,21.764705882352942
2010-01-26,21.708333333333332
2010-01-27,24.75
2010-01-28,13.863636363636363
2010-01-29,16.866666666666667
2010-03-08,22.6
2010-03-09,17.833333333333332
2010-03-10,22.25
2010-03-11,18.842105263157894
2010-03-12,29.958333333333332
2010-03-13,24.833333333333332
2010-03-14,12.416666666666666
