date,average
2010-12-31,0.0
2011-01-01,0.0
2011-01-10,1.3333333333333333
2011-01-11,16.25
2011-01-12,32.833333333333336
2011-01-20,15.5
2011-01-21,16.833333333333332
2011-02-17,33.46666666666667
2011-02-18,38.958333333333336
2011-02-19,29.791666666666668
2011-02-20,18.833333333333332
2011-02-21,28.875
2011-02-22,31.666666666666668
2011-02-23,30.375
2011-02-24,28.291666666666668
2011-02-25,34.166666666666664
2011-02-26,36.458333333333336
2011-02-27,46.875
2011-02-28,31.958333333333332
2011-03-01,34.75
2011-03-02,41.5
2011-03-03,29.166666666666668
2011-03-04,33.375
2011-03-05,28.875
2011-03-06,27.166666666666668
2011-03-07,22.833333333333332
2011-03-08,25.791666666666668
2011-03-09,26.583333333333332
2011-03-10,30.041666666666668
2011-03-11,32.625
2011-03-12,30.958333333333332
2011-03-13,19.208333333333332
2011-03-14,24.791666666666668
2011-03-15,29.833333333333332
2011-03-16,34.833333333333336
2011-03-17,41.5
2011-03-18,40.583333333333336
2011-03-19,43.625
2011-03-20,29.5
2011-03-21,30.791666666666668
2011-03-22,38.916666666666664
2011-03-23,51.5
2011-03-24,26.166666666666668
2011-03-25,23.5
2011-03-26,18.625
2011-03-27,23.125
2011-03-28,31.791666666666668
2011-03-29,28.916666666666668
2011-03-30,24.041666666666668
2011-03-31,31.541666666666668
2011-04-01,41.958333333333336
2011-04-02,36.708333333333336
2011-04-03,30.0
2011-04-04,30.25
2011-04-05,40.791666666666664
2011-04-06,41.083333333333336
2011-04-07,31.791666666666668
2011-04-08,40.833333333333336
2011-04-09,27.416666666666668
2011-04-10,28.083333333333332
2011-04-11,31.916666666666668
2011-04-12,27.541666666666668
2011-04-13,37.666666666666664
2011-04-14,48.416666666666664
2011-04-15,30.875
2011-04-16,20.583333333333332
2011-04-17,14.833333333333334
2011-04-18,17.157894736842106
2011-04-20,24.4
2011-04-21,20.846153846153847
2011-04-22,15.25
2011-04-23,14.958333333333334
2011-04-24,23.458333333333332
2011-04-25,33.083333333333336
2011-04-26,37.5
2011-04-27,39.0
2011-04-28,35.416666666666664
2011-04-29,32.375
2011-04-30,20.166666666666668
2011-05-01,15.708333333333334
2011-05-02,22.25
2011-05-03,58.5
2011-05-04,32.708333333333336
2011-05-05,37.625
2011-05-06,77.20833333333333
2011-05-07,77.91666666666667
2011-05-08,50.541666666666664
2011-05-09,28.333333333333332
2011-05-10,34.958333333333336
2011-05-11,59.208333333333336
2011-05-12,64.0
2011-05-13,33.791666666666664
2011-05-14,23.375
2011-05-15,19.25
2011-05-16,16.208333333333332
2011-05-17,19.708333333333332
2011-05-18,20.625
2011-05-19,22.666666666666668
2011-05-20,31.208333333333332
2011-05-21,38.625
2011-05-22,27.875
2011-05-23,20.916666666666668
2011-05-24,27.291666666666668
2011-05-25,17.125
2011-05-26,17.583333333333332
2011-05-27,27.25
2011-05-28,19.625
2011-05-29,17.5
2011-05-30,20.0
2011-05-31,35.083333333333336
2011-06-01,81.75
2011-06-02,52.166666666666664
2011-06-03,39.166666666666664
2011-06-04,24.75
2011-06-05,18.5
2011-06-06,18.791666666666668
2011-06-07,31.958333333333332
2011-06-08,42.875
2011-06-09,52.125
2011-06-10,54.333333333333336
2011-06-11,40.166666666666664
2011-06-12,32.833333333333336
2011-06-13,151.41666666666666
2011-06-14,144.0
2011-06-15,72.83333333333333
2011-06-16,51.583333333333336
2011-06-17,34.708333333333336
2011-06-18,23.041666666666668
2011-06-19,19.083333333333332
2011-06-20,15.041666666666666
2011-06-21,45.0
2011-06-22,74.875
2011-06-23,20.0
2011-06-24,42.666666666666664
2011-06-25,77.5
2011-06-26,14.166666666666666
2011-06-27,19.708333333333332
2011-06-28,40.25
2011-06-29,36.5
2011-06-30,36.291666666666664
2011-07-01,74.41666666666667
2011-07-02,109.58333333333333
2011-07-03,92.20833333333333
2011-07-04,30.625
2011-07-05,45.625
2011-07-06,47.166666666666664
2011-07-07,63.916666666666664
2011-07-08,136.70833333333334
2011-07-09,86.125
2011-07-10,61.583333333333336
2011-07-11,48.791666666666664
2011-07-12,35.5
2011-07-13,72.75
2011-07-14,56.958333333333336
2011-07-15,30.458333333333332
2011-07-16,23.833333333333332
2011-07-17,68.70833333333333
2011-07-18,47.25
2011-07-19,16.291666666666668
2011-07-20,14.125
2011-07-21,22.416666666666668
2011-07-22,32.22727272727273
2011-07-23,28.571428571428573
2011-07-24,19.375
2011-07-25,14.333333333333334
2011-07-26,116.42105263157895
2011-07-27,324.4166666666667
2011-07-28,85.29166666666667
2011-07-29,75.5
2011-07-30,44.958333333333336
2011-07-31,9.333333333333334
2011-08-01,16.541666666666668
2011-08-02,33.958333333333336
2011-08-03,45.041666666666664
2011-08-04,25.791666666666668
2011-08-05,34.333333333333336
2011-08-06,59.958333333333336
2011-08-07,44.208333333333336
2011-08-08,37.916666666666664
2011-08-09,63.25
2011-08-10,27.125
2011-08-11,27.708333333333332
2011-08-12,43.833333333333336
2011-08-13,24.791666666666668
2011-08-14,46.333333333333336
2011-08-15,25.333333333333332
2011-08-16,25.875
2011-08-17,18.25
2011-08-18,19.083333333333332
2011-08-19,14.458333333333334
2011-08-20,13.458333333333334
2011-08-21,18.25
2011-08-22,14.916666666666666
2011-08-23,15.541666666666666
2011-08-24,20.0
2011-08-25,48.708333333333336
2011-08-26,30.458333333333332
2011-08-27,25.5
2011-08-28,24.458333333333332
2011-08-29,30.0
2011-08-30,38.166666666666664
2011-08-31,42.791666666666664
2011-09-01,65.0909090909091
2011-09-02,23.625
2011-09-03,22.0
2011-09-04,29.833333333333332
2011-09-05,38.458333333333336
2011-09-06,53.416666666666664
2011-09-07,43.708333333333336
2011-09-08,40.083333333333336
2011-09-09,51.375
2011-09-10,61.291666666666664
2011-09-11,65.75
2011-09-12,36.708333333333336
2011-09-13,59.166666666666664
2011-09-14,30.416666666666668
2011-09-15,28.125
2011-09-16,37.458333333333336
2011-09-17,66.83333333333333
2011-09-18,52.916666666666664
2011-09-19,24.791666666666668
2011-09-20,37.708333333333336
2011-09-21,48.416666666666664
2011-09-22,49.75
2011-09-23,34.75
2011-09-24,24.5
2011-09-25,18.291666666666668
2011-09-26,32.0
2011-09-27,88.33333333333333
2011-09-28,67.0
2011-09-29,52.583333333333336
2011-09-30,62.041666666666664
2011-10-01,41.916666666666664
2011-10-02,50.916666666666664
2011-10-03,58.541666666666664
2011-10-04,21.708333333333332
2011-10-05,35.916666666666664
2011-10-06,33.208333333333336
2011-10-07,21.5
2011-10-08,16.583333333333332
2011-10-09,18.625
2011-10-10,12.208333333333334
2011-10-11,22.833333333333332
2011-10-12,17.291666666666668
2011-10-13,18.416666666666668
2011-10-14,17.333333333333332
2011-10-15,27.166666666666668
2011-10-16,130.45833333333334
2011-10-17,139.75
2011-10-18,20.791666666666668
2011-10-19,33.458333333333336
2011-10-20,33.958333333333336
2011-10-21,32.375
2011-10-22,37.958333333333336
2011-10-23,31.0
2011-10-24,26.625
2011-10-25,17.083333333333332
2011-10-26,22.0
2011-10-27,28.583333333333332
2011-10-28,51.291666666666664
2011-10-29,48.541666666666664
2011-10-30,49.375
2011-10-31,25.583333333333332
2011-11-01,24.208333333333332
2011-11-02,23.25
2011-11-03,26.416666666666668
2011-11-04,27.041666666666668
2011-11-05,29.083333333333332
2011-11-06,18.791666666666668
2011-11-07,18.666666666666668
2011-11-08,24.375
2011-11-09,30.583333333333332
2011-11-10,34.791666666666664
2011-11-11,42.416666666666664
2011-11-12,25.833333333333332
2011-11-13,31.083333333333332
2011-11-14,30.958333333333332
2011-11-15,39.375
2011-11-16,49.833333333333336
2011-11-17,46.75
2011-11-18,34.541666666666664
2011-11-19,37.708333333333336
2011-11-20,34.5
2011-11-21,25.041666666666668
2011-11-22,142.0
2011-11-23,103.125
2011-11-24,78.41666666666667
2011-11-25,61.833333333333336
2011-11-26,115.41666666666667
2011-11-27,127.20833333333333
2011-11-28,82.20833333333333
2011-11-29,59.041666666666664
2011-11-30,35.5
2011-12-01,19.375
2011-12-02,23.875
2011-12-03,21.375
2011-12-04,25.25
2011-12-05,27.333333333333332
2011-12-06,30.0
2011-12-07,30.25
2011-12-08,18.125
2011-12-09,22.125
2011-12-10,31.083333333333332
2011-12-11,32.416666666666664
2011-12-12,27.75
2011-12-13,31.541666666666668
2011-12-14,22.791666666666668
2011-12-15,20.75
2011-12-16,19.833333333333332
2011-12-17,17.541666666666668
2011-12-18,24.75
2011-12-19,18.833333333333332
2011-12-20,20.153846153846153
2011-12-21,43.23529411764706
2011-12-22,39.875
2011-12-23,36.5
2011-12-24,19.291666666666668
2011-12-25,12.0
2011-12-26,13.791666666666666
2011-12-27,26.666666666666668
2011-12-28,27.375
2011-12-29,30.208333333333332
2011-12-30,24.958333333333332
2011-12-31,29.208333333333332
2012-01-01,27.88235294117647
2012-01-02,39.0
2012-01-03,41.333333333333336
2012-01-04,29.833333333333332
2012-01-05,25.916666666666668
